
//Song info
INFO:Title|Untitled
INFO:BPM|125
INFO:LPB|8
//Track ID table
TRACK:0|stablead
TRACK:1|choirs
TRACK:2|lead1
TRACK:3|lead2
TRACK:4|bass
TRACK:5|bassgroup
TRACK:6|Track 07
TRACK:7|primary drums
TRACK:8|Track 09
TRACK:9|Track 10
TRACK:10|hihats
TRACK:11|percussion
TRACK:12|hard snares
TRACK:13|rave stab
TRACK:14|vox
TRACK:15|Mst
TRACK:16|dekay
TRACK:17|spread
TRACK:18|edge
//Instrument ID table
INSTR:0|VST: SQ8L (AMBASS)
INSTR:1|VST: SQ8L (SATURN)
INSTR:2|04 Milk Bottle Plant, Bottle Cleanin
INSTR:3|Unnamed
INSTR:4|11-08 Rivers And Streams, Lock Gates
INSTR:5|Unnamed
INSTR:6|[S] VST: Voyager (---)
INSTR:7|kick_011
INSTR:8|kick_008
INSTR:9|TranceBD015
INSTR:10|VST: Absynth 5 Stereo (Horror Synth)
INSTR:11|VST: Absynth 5 Stereo (Windswept)
INSTR:12|VST: Philharmonik (Default)
INSTR:13|clap_005
INSTR:14|Rage_SD06-raw
INSTR:15|Rage_HH03c
INSTR:16|Rage_HH06o-tap
INSTR:17|Zenhiser DL-OHSSH01 006
INSTR:18|Unnamed
INSTR:19|TranceBD006
INSTR:20|TranceBD057
INSTR:21|Unnamed
INSTR:22|Unnamed
INSTR:23|when you had sight
INSTR:24|New Sample 01
INSTR:25|yuggoth1
INSTR:26|New Sample 04
INSTR:27|New Sample 03
INSTR:28|Unnamed
INSTR:29|Unnamed
INSTR:30|Unnamed
INSTR:31|D'n'B Crash 06
INSTR:32|Unnamed
INSTR:33|Unnamed
INSTR:34|Unnamed
//Playback data: track number|instrument number|seconds|MIDI note value (google it)|volume value,...
NOTE:0|1|0|62|255
NOTE:0|1|1.92|67|255
NOTE:0|1|3.84|62|255
NOTE:0|1|5.76|67|255
NOTE:0|1|7.68|62|255
NOTE:0|1|9.6|67|255
NOTE:0|1|11.52|62|255
NOTE:0|1|13.44|67|255
NOTE:0|1|15.36|62|255
NOTE:0|1|17.28|67|255
NOTE:0|1|19.2|62|255
NOTE:0|1|21.12|67|255
NOTE:0|1|23.04|62|255
NOTE:0|1|24.96|67|255
NOTE:0|1|26.88|62|255
NOTE:0|1|28.8|67|255
NOTE:0|1|30.72|62|255
NOTE:2|10|30.72|62|255
NOTE:0|1|31.2|63|32
NOTE:3|11|31.32|86|255
NOTE:0|1|31.68|62|32
NOTE:0|1|32.64|67|255
NOTE:0|1|33.12|63|32
NOTE:0|1|33.6|62|32
NOTE:0|1|34.56|62|255
NOTE:1|12|34.56|62|255
NOTE:1|12|34.56|63|255
NOTE:1|2|34.56|60|255
NOTE:2|10|34.56|62|255
NOTE:0|1|35.04|63|32
NOTE:3|11|35.16|86|255
NOTE:0|1|35.52|62|32
NOTE:0|1|36.48|67|255
NOTE:1|12|36.48|62|255
NOTE:1|12|36.48|65|255
NOTE:0|1|36.96|63|32
NOTE:0|1|37.44|62|32
NOTE:0|1|38.4|62|255
NOTE:1|2|38.4|60|255
NOTE:2|10|38.4|62|255
NOTE:0|1|38.88|63|32
NOTE:3|11|39|86|255
NOTE:0|1|39.36|62|32
NOTE:0|1|40.32|67|255
NOTE:0|1|40.8|63|32
NOTE:0|1|41.28|62|32
NOTE:0|1|42.24|62|255
NOTE:1|12|42.24|62|255
NOTE:1|12|42.24|63|255
NOTE:0|1|42.72|63|32
NOTE:3|11|42.84|86|255
NOTE:0|1|43.2|62|32
NOTE:0|1|44.16|67|255
NOTE:1|12|44.16|62|255
NOTE:1|12|44.16|65|255
NOTE:0|1|49.08|62|255
NOTE:1|12|49.08|62|255
NOTE:1|12|49.08|63|255
NOTE:2|10|49.08|62|255
NOTE:4|0|49.08|55|255
NOTE:6|9|49.08|48|255
NOTE:4|0|49.32|55|255
NOTE:8|13|49.32|39|255
NOTE:0|1|49.56|63|32
NOTE:4|0|49.56|55|255
NOTE:8|8|49.56|46|255
NOTE:3|11|49.68|86|255
NOTE:4|0|49.8|55|255
NOTE:0|1|50.04|62|32
NOTE:4|0|50.04|55|255
NOTE:6|4|50.04|50|255
NOTE:6|9|50.04|48|255
NOTE:4|0|50.28|55|255
NOTE:4|0|50.52|55|255
NOTE:8|8|50.52|46|255
NOTE:4|0|50.76|55|255
NOTE:0|1|51|67|255
NOTE:1|12|51|62|255
NOTE:1|12|51|65|255
NOTE:4|0|51|55|255
NOTE:6|9|51|48|255
NOTE:6|6|51|48|255
NOTE:4|0|51.24|55|255
NOTE:0|1|51.48|63|32
NOTE:4|0|51.48|55|255
NOTE:8|8|51.48|46|255
NOTE:4|0|51.72|55|255
NOTE:0|1|51.96|62|32
NOTE:4|0|51.96|55|255
NOTE:6|9|51.96|48|255
NOTE:6|6|51.96|48|255
NOTE:4|0|52.2|55|255
NOTE:4|0|52.44|55|255
NOTE:8|8|52.44|46|255
NOTE:4|0|52.68|55|255
NOTE:0|1|52.92|62|255
NOTE:1|12|52.92|63|255
NOTE:1|12|52.92|67|255
NOTE:2|10|52.92|65|255
NOTE:4|0|52.92|56|255
NOTE:6|9|52.92|48|255
